id,ID,Commanditaire_Collectivite_locale,nbre_marches_CT,type_marche,Commanditaire_adresse,Commanditaire_CP,montant_ou_moyenne,nom_frn,type_frn,lib93_independant,cp_frn,adresse_frn,ville_frn,adresse_cp_command,adresse_cp_frn,lat_long_frn,lat_long_comm,command_variant_address
52,53,NOISY-LE-SEC,marché 1,médiathèque,3 rue Jean Jaurès,93130,4000,BDnET,LS,non,75011,26 rue de Charonne,PARIS,"3 rue Jean Jaurès, NOISY-LE-SEC, France","26 rue de Charonne, PARIS, France","48.8528208,2.3757083","48.8906493,2.4530192","3 rue Jean Jaurès, 93130, France"
53,54,NOISY-LE-SEC,marché 1,médiathèque,3 rue Jean Jaurès,93130,11000,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"3 rue Jean Jaurès, NOISY-LE-SEC, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.8906493,2.4530192","3 rue Jean Jaurès, 93130, France"
54,55,NOISY-LE-SEC,marché 1,médiathèque,3 rue Jean Jaurès,93130,20000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"3 rue Jean Jaurès, NOISY-LE-SEC, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.8906493,2.4530192","3 rue Jean Jaurès, 93130, France"
55,56,NOISY-LE-SEC,marché 1,médiathèque,3 rue Jean Jaurès,93130,29000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"3 rue Jean Jaurès, NOISY-LE-SEC, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.8906493,2.4530192","3 rue Jean Jaurès, 93130, France"
56,57,PANTIN,marché 1,"non scolaires ""livres de récompense""",84-88 avenue du Général Leclerc,93500,80000,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"84-88 avenue du Général Leclerc, PANTIN, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.900813,2.4222543","84-88 avenue du Général Leclerc, 93500, France"
57,58,PANTIN,marché 1,services de la collectivité locale sans livres scolaires,84-88 avenue du Général Leclerc,93500,4500,folies d'encre pantin,LGE,oui,93500,81 avenue Jean Lolive,PANTIN,"84-88 avenue du Général Leclerc, PANTIN, France","81 avenue Jean Lolive, PANTIN, France","48.8920384,2.4062587","48.900813,2.4222543","84-88 avenue du Général Leclerc, 93500, France"
58,59,PANTIN,marché 1,services de la collectivité locale sans livres scolaires,84-88 avenue du Général Leclerc,93500,12500,folies d'encre pantin,LGE,oui,93500,81 avenue Jean Lolive,PANTIN,"84-88 avenue du Général Leclerc, PANTIN, France","81 avenue Jean Lolive, PANTIN, France","48.8920384,2.4062587","48.900813,2.4222543","84-88 avenue du Général Leclerc, 93500, France"
59,60,PANTIN,marché 1,services de la collectivité locale sans livres scolaires,84-88 avenue du Général Leclerc,93500,42500,gibert joseph,TGL,non,75006,26 boulevard Saint-Michel,PARIS,"84-88 avenue du Général Leclerc, PANTIN, France","26 boulevard Saint-Michel, PARIS, France","48.85060319999999,2.3425474","48.900813,2.4222543","84-88 avenue du Général Leclerc, 93500, France"
60,61,PIERREFITTE-SUR-SEINE,marché 1,livres scolaires,2 place de la Libération,93380,18500,folie d'encre st ouen,LGE,oui,93400,53 avenue Gabriel Péri,SAINT-OUEN,"2 place de la Libération, PIERREFITTE-SUR-SEINE, France","53 avenue Gabriel Péri, SAINT-OUEN, France","48.9078743,2.3326995","48.9633994,2.3591007","2 place de la Libération, 93380, France"
61,62,PIERREFITTE-SUR-SEINE,marché 1,livres scolaires,2 place de la Libération,93380,16000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"2 place de la Libération, PIERREFITTE-SUR-SEINE, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.9633994,2.3591007","2 place de la Libération, 93380, France"
62,63,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,1800,ABRAKADABRA,ETR,non,38500,8 avenue Marie Curie,VOIRON,"11 rue des Cheminots, PLAINE COMMUNE, France","8 avenue Marie Curie, VOIRON, France","45.3708614,5.5855627","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
63,64,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,3500,ATTICA,LS,non,75013,15 rue Boussingault,PARIS,"11 rue des Cheminots, PLAINE COMMUNE, France","15 rue Boussingault, PARIS, France","48.8233433,2.3452724","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
64,65,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,65000,BDnET,LS,non,75011,26 rue de Charonne,PARIS,"11 rue des Cheminots, PLAINE COMMUNE, France","26 rue de Charonne, PARIS, France","48.8528208,2.3757083","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
65,66,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,2000,CIL,ETR,non,69290,Rue du Stade,GRÉZIEU-LA-VARENNE,"11 rue des Cheminots, PLAINE COMMUNE, France","Rue du Stade, GRÉZIEU-LA-VARENNE, France","45.745033,4.709627999999999","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
66,67,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,2000,diff 3000,X,non,37250,28 rue des Partenais,VEIGNE,"11 rue des Cheminots, PLAINE COMMUNE, France","28 rue des Partenais, VEIGNE, France","47.27734299999999,0.741805","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
67,68,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,55000,"Mots passants, Folies encre St Denis et St Ouen à part égale, ",LGE,oui,93300 et 93200 et 93400,2 rue du Moutier,AUBERVILLIERS,"11 rue des Cheminots, PLAINE COMMUNE, France","2 rue du Moutier, AUBERVILLIERS, France","48.91479220000001,2.3834375","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
68,69,PLAINE COMMUNE,marché 1,médiathèque,11 rue des Cheminots,93200,260000,sfl,GFS,non,93200,4 rue Saint-Christophe,SAINT-DENIS,"11 rue des Cheminots, PLAINE COMMUNE, France","4 rue Saint-Christophe, SAINT-DENIS, France","48.914348,2.3829634","48.91721039999999,2.3525204","11 rue des Cheminots, 93200, France"
